Strain : Tensile strain (Extension) gauge length,100,mm,Sample 24,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
60.377,1.37919,49.49319,,,,
60.477,1.37921,49.43505,,,,
60.577,1.37922,49.39493,,,,
60.677,1.37922,49.34618,,,,
60.777,1.37923,49.30575,,,,
60.877,1.37923,49.26448,,,,
60.977,1.37925,49.21771,,,,
61.077,1.37925,49.17537,,,,
61.177,1.37925,49.13305,,,,
61.277,1.37925,49.09513,,,,
61.377,1.37925,49.05868,,,,
61.477,1.37925,49.0205,,,,
61.577,1.37925,48.98144,,,,
61.677,1.37925,48.95243,,,,
61.777,1.37925,48.91037,,,,
61.877,1.37925,48.88124,,,,
61.977,1.37925,48.8375,,,,
62.077,1.37925,48.81523,,,,
62.177,1.37925,48.77895,,,,
62.277,1.37925,48.7489,,,,
62.377,1.37925,48.71841,,,,
62.477,1.37925,48.69231,,,,
62.577,1.37925,48.66061,,,,
62.677,1.37925,48.63411,,,,
62.777,1.37925,48.60578,,,,
62.877,1.37925,48.58432,,,,
62.977,1.37925,48.55013,,,,
63.077,1.37925,48.52617,,,,
63.177,1.37925,48.50348,,,,
63.277,1.37925,48.47142,,,,
63.377,1.37925,48.44625,,,,
63.477,1.37925,48.42622,,,,
63.577,1.37925,48.40598,,,,
63.677,1.37925,48.37461,,,,
63.777,1.37925,48.35516,,,,
63.877,1.37925,48.33025,,,,
63.977,1.37925,48.30922,,,,
64.077,1.37925,48.28154,,,,
64.177,1.37925,48.26526,,,,
64.277,1.37925,48.23853,,,,
64.377,1.37925,48.2156,,,,
64.477,1.37925,48.19776,,,,
64.577,1.37925,48.17476,,,,
64.677,1.37925,48.15676,,,,
64.777,1.37925,48.12965,,,,
64.877,1.37925,48.1048,,,,
64.977,1.37925,48.09061,,,,
65.077,1.37925,48.06598,,,,
65.177,1.37925,48.05344,,,,
65.277,1.37925,48.03925,,,,
65.377,1.37925,48.02082,,,,
65.477,1.37925,47.99234,,,,
65.577,1.37925,47.98083,,,,
65.677,1.37925,47.95972,,,,
65.777,1.37925,47.95107,,,,
65.877,1.37925,47.92213,,,,
65.977,1.37925,47.90467,,,,
66.077,1.37925,47.8895,,,,
66.177,1.37925,47.87532,,,,
66.277,1.37925,47.8539,,,,
66.377,1.37925,47.84273,,,,
66.477,1.37925,47.81939,,,,
66.577,1.37925,47.80205,,,,
66.677,1.37925,47.78621,,,,
66.777,1.37925,47.7739,,,,
66.877,1.37925,47.75782,,,,
66.977,1.37925,47.73433,,,,
67.077,1.37925,47.71723,,,,
67.177,1.37925,47.70483,,,,
67.277,1.37925,47.69696,,,,
67.377,1.37925,47.67426,,,,
67.477,1.37925,47.66194,,,,
67.577,1.37925,47.65861,,,,
67.677,1.37925,47.63304,,,,
67.777,1.37925,47.6117,,,,
67.877,1.37925,47.60504,,,,
67.977,1.37925,47.58544,,,,
68.077,1.37925,47.57215,,,,
68.177,1.37925,47.56065,,,,
68.277,1.37925,47.54099,,,,
68.377,1.37925,47.53169,,,,
68.477,1.37925,47.5156,,,,
68.577,1.37925,47.50692,,,,
68.677,1.37925,47.49447,,,,
68.777,1.37925,47.47082,,,,
68.877,1.37925,47.45692,,,,
68.977,1.37925,47.44753,,,,
69.077,1.37925,47.43096,,,,
69.177,1.37925,47.42839,,,,
69.277,1.37925,47.4088,,,,
69.377,1.37925,47.40084,,,,
69.477,1.37925,47.38402,,,,
69.577,1.37925,47.36935,,,,
69.677,1.37925,47.35065,,,,
69.777,1.37925,47.34743,,,,
69.877,1.37925,47.33538,,,,
69.977,1.37925,47.31727,,,,
70.077,1.37925,47.30825,,,,
70.177,1.37925,47.29807,,,,
70.277,1.37925,47.28564,,,,
70.377,1.37925,47.26989,,,,
70.477,1.37925,47.25384,,,,
70.577,1.37925,47.246,,,,
70.677,1.37925,47.22709,,,,
70.777,1.37925,47.21835,,,,
70.877,1.37925,47.20372,,,,
70.977,1.37925,47.18697,,,,
71.077,1.37925,47.18014,,,,
71.177,1.37925,47.17094,,,,
71.277,1.37925,47.15388,,,,
71.377,1.37925,47.14442,,,,
71.477,1.37925,47.13184,,,,
71.577,1.37925,47.12559,,,,
71.677,1.37925,47.10678,,,,
71.777,1.37925,47.09968,,,,
71.877,1.37925,47.09593,,,,
71.977,1.37925,47.07792,,,,
72.077,1.37925,47.07006,,,,
72.177,1.37925,47.0536,,,,
72.277,1.37925,47.04645,,,,
72.377,1.37925,47.02179,,,,
72.477,1.37925,47.0228,,,,
72.577,1.37925,47.01284,,,,
72.677,1.37925,46.99634,,,,
72.777,1.37925,46.98035,,,,
72.877,1.37925,46.97166,,,,
72.977,1.37925,46.96676,,,,
73.077,1.37925,46.94667,,,,
73.177,1.37925,46.94304,,,,
73.277,1.37925,46.9331,,,,
73.377,1.37925,46.91758,,,,
73.477,1.37925,46.91201,,,,
