Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"47.90200","0.36134","2.19525"
"48.00200","0.44663","4.94080"
"48.10200","0.53148","9.12222"
"48.19500","0.61099","14.17335"
"48.27600","0.67964","19.20959"
"48.34900","0.74209","24.24906"
"48.41700","0.80004","29.27036"
"48.47800","0.85171","33.96816"
"48.47900","0.85255","34.04728"
"48.48000","0.85340","34.12647"
"48.58000","0.83649","30.59702"
"48.62700","0.79281","25.52349"
"48.68300","0.74348","20.49465"
"48.74900","0.68665","15.48389"
"48.83000","0.61789","10.47106"
"48.93000","0.53239","5.71146"
"49.03000","0.44752","2.64730"
"49.13000","0.36207","0.97286"
"49.23000","0.27722","0.29458"
"49.33000","0.19193","0.11286"
"49.43000","0.10680","0.07768"
"49.53000","0.02175","0.06332"
"49.55600","-0.00052","0.04890"
"49.55700","-0.00138","0.04880"
"49.55800","-0.00223","0.04876"
"49.65800","0.01407","0.07037"
"49.75800","0.10486","0.10879"
"49.85800","0.19101","0.23470"
"49.95800","0.27610","0.75504"
"50.05800","0.36120","2.16564"
"50.15800","0.44648","4.88613"
"50.25800","0.53133","9.06000"
"50.35100","0.61084","14.08918"
"50.43200","0.67948","19.11751"
"50.50500","0.74193","24.14441"
"50.57300","0.79989","29.16958"
"50.63400","0.85154","33.85774"
"50.63500","0.85239","33.93639"
"50.63600","0.85324","34.01509"
"50.73600","0.83619","30.48300"
"50.78300","0.79260","25.43192"
"50.83900","0.74330","20.40087"
"50.90600","0.68564","15.34763"
"50.98700","0.61688","10.33948"
"51.08700","0.53138","5.62476"
"51.18700","0.44651","2.58890"
"51.28700","0.36106","0.93829"
"51.38700","0.27622","0.29292"
"51.48700","0.19091","0.11692"
"51.58700","0.10583","0.06667"
"51.68700","0.02075","0.05446"
"51.71200","-0.00069","0.06134"
"51.71300","-0.00154","0.06185"
"51.71400","-0.00240","0.06227"
"51.81400","0.01360","0.07405"
